Instructions,situation,A,B,C,D,E,answer label,answer,pred,explanation,response,is_correct
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Somebody is most likely to feel surprised after?,Something unexpected happens,Something unfamiliar happens.,Something unusual happens.,Something scary happens.,Something silly happens.,A,Something unexpected happens,A,"Surprise is most likely to occur when something unexpected happens, as it disrupts one's expectations and creates a sense of astonishment."," 
Answer: A
Explanation: Surprise is most likely to occur when something unexpected happens, as it disrupts one's expectations and creates a sense of astonishment.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Leya works as a trouble-shooter. She is presented with a standard looking problem but cannot 
work out how to solve it. Leya is most likely to feel?",Confused,Frustrated,Surprised,Relieved,Distressed,B,Frustrated,B,"Leya, as a trouble-shooter, is likely to feel frustrated when she cannot solve a 
standard problem, as it goes against her expertise and expectations.","Answer: B
Explanation: Leya, as a trouble-shooter, is likely to feel frustrated when she cannot solve a 
standard problem, as it goes against her expertise and expectations.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,Depressed,Frustrated,Angry,Contemptuous,Distressed,C,Distressed,B,"In the given situation, Charles is most likely to feel frustrated because his friend's tardiness has caused them to miss the movie, which is a source of disappointment and annoyance.","Answer: B
Explanation: In the given situation, Charles is most likely to feel frustrated because his friend's tardiness has caused them to miss the movie, which is a source of disappointment and annoyance.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",Irritated,Scared,Distressed,Sad,Hopeful,B,Scared,C,"Rashid is most likely to feel distressed because he is in a difficult situation where he has little control over the outcome, and there is a high likelihood that he will not meet his quota. This lack of control and high stakes can cause feelings of distress.","Answer: C
Explanation: Rashid is most likely to feel distressed because he is in a difficult situation where he has little control over the outcome, and there is a high likelihood that he will not meet his quota. This lack of control and high stakes can cause feelings of distress.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,Dislike,Rage,Jealousy,Surprise,Anxiety,A,Dislike,B,"When someone believes they have been harmed on purpose and there's little that can be done to rectify the situation, the most likely emotional response is intense anger or rage.","Answer: B
Explanation: When someone believes they have been harmed on purpose and there's little that can be done to rectify the situation, the most likely emotional response is intense anger or rage.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,Excitement,Anger,Horror,Contempt,Shame,D,Contempt,B,"In the given situation, Phil is most likely to feel anger because Bart is asking him to be complicit in his unethical behavior of stealing from the company. This request would likely provoke a strong negative emotional response, such as anger, due to the moral and professional implications involved.","Answer: B
Explanation: In the given situation, Phil is most likely to feel anger because Bart is asking him to be complicit in his unethical behavior of stealing from the company. This request would likely provoke a strong negative emotional response, such as anger, due to the moral and professional implications involved.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?,Angry,Sad,Frustrated,Distressed,Ashamed,B,Sad,B,"In the given situation, Jim is most likely to feel sad because he is unable to spend quality time with his children in the park, which he previously enjoyed.","Answer: B
Explanation: In the given situation, Jim is most likely to feel sad because he is unable to spend quality time with his children in the park, which he previously enjoyed.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",Distress,Fear,Surprise,Joy,Hope,E,Hope,D,Derek is most likely to feel joy because his house increasing in value is a positive outcome.,"Answer: D
Explanation: Derek is most likely to feel joy because his house increasing in value is a positive outcome.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,Depressed,Contemptuous,Frustrated,Angry,Distressed,D,Angry,C,"In the given situation, Sheila's workmate intentionally withholding important information from Sheila would likely cause Sheila to feel frustrated, as she is being denied the opportunity to apply for a raise due to lack of necessary information.","Answer: C
Explanation: In the given situation, Sheila's workmate intentionally withholding important information from Sheila would likely cause Sheila to feel frustrated, as she is being denied the opportunity to apply for a raise due to lack of necessary information.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,"She didn't make an offer on a house she wanted, and now she is trying to find out if it is
too late. ",She found a house she liked that she didn't think she would find.,"She couldn't make an offer on a house she liked because the bank didn't get her the money
in time.",She didn't make an offer on a house she liked and now someone else has bought it.,She made an offer on a house and is waiting to see if it is accepted.,D,She didn't make an offer on a house she liked and now someone else has bought it.,D,"Megan's regret in this situation most likely stems from missing an opportunity to purchase a house she liked, now that someone else has bought it."," 
Answer: D
Explanation: Megan's regret in this situation most likely stems from missing an opportunity to purchase a house she liked, now that someone else has bought it.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",Her work-mate told a silly joke.,She was working on a new task she hadn't dealt with before.,She found some results that were different from what she thought they would be.,She realised she would not be able to complete her work.,She had to do a task she didn't normally do at work.,C,She found some results that were different from what she thought they would be.,C,Surprise is typically caused by unexpected events or results. Mary finding results that were different from what she thought they would be is most likely to cause her to feel surprised.," 
Answer: C
Explanation: Surprise is typically caused by unexpected events or results. Mary finding results that were different from what she thought they would be is most likely to cause her to feel surprised.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,Scared,Angry,Sad,Guilty,Distressed,E,Distressed,E,"Garry's situation involves a problem that he cannot solve or control, which is likely to cause him distress.","Answer: E
Explanation: Garry's situation involves a problem that he cannot solve or control, which is likely to cause him distress.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,Hope,Pride,Gratitude,Surprise,Relief,C,Gratitude,C,"When someone believes another person has intentionally caused something good to happen to them, they are most likely to feel gratitude, as it is a natural response to perceived kindness or benevolence from others.","Answer: C
Explanation: When someone believes another person has intentionally caused something good to happen to them, they are most likely to feel gratitude, as it is a natural response to perceived kindness or benevolence from others.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",Pride,Relief,Joy,Hope,Guilt,C,Joy,C,"Kevin is most likely to feel joy upon receiving a promotion out of the blue. This is because a promotion is a positive event that brings new opportunities and recognition, which typically elicits feelings of happiness.","Answer: C
Explanation: Kevin is most likely to feel joy upon receiving a promotion out of the blue. This is because a promotion is a positive event that brings new opportunities and recognition, which typically elicits feelings of happiness.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",Joy,Hope,Relief,Pride,Surprise,D,Pride,D,"Achieving a goal through one's own actions typically leads to a sense of accomplishment and self-respect, which is closely associated with the emotion of pride.","Answer: D
Explanation: Achieving a goal through one's own actions typically leads to a sense of accomplishment and self-respect, which is closely associated with the emotion of pride.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",Regret,Hope,Joy,Sadness,Relief,E,Relief,E,"When an unwanted situation becomes less likely or stops, the person involved is most likely to feel relief, as the threat or discomfort associated with the situation is alleviated.","Answer: E
Explanation: When an unwanted situation becomes less likely or stops, the person involved is most likely to feel relief, as the threat or discomfort associated with the situation is alleviated.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Hasad tries to use his new mobile phone. He has always been able to work out how to use different appliances, but he cannot get the phone to function. Hasad is most likely to feel?",Distressed,Confused,Surprised,Relieved,Frustrated,E,Frustrated,E,"Hasad's inability to use his new mobile phone, despite his usual ability to work out appliances, is likely to cause him frustration due to the unexpected difficulty.","Answer: E
Explanation: Hasad's inability to use his new mobile phone, despite his usual ability to work out appliances, is likely to cause him frustration due to the unexpected difficulty.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Dorian's friend is ill and coughs all over him without bothering to turn away or cover his mouth. Dorian is most likely to feel?,Anxiety,Dislike,Surprise,Jealousy,Rage,B,Dislike,B,"In the given situation, Dorian's friend coughing all over him without taking any precautions to prevent the spread of illness typically suggests a lack of consideration or respect for Dorian's well-being, which is likely to evoke feelings of dislike."," 

Answer: B
Explanation: In the given situation, Dorian's friend coughing all over him without taking any precautions to prevent the spread of illness typically suggests a lack of consideration or respect for Dorian's well-being, which is likely to evoke feelings of dislike.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",Scared,Distressed,Irritated,Sad,Hopeful,A,Scared,B,"Tina's situation is distressing because she has contracted cancer despite being careful, and there is little chance of it being benign, and nothing she can do now will change the outcome.","Answer: B
Explanation: Tina's situation is distressing because she has contracted cancer despite being careful, and there is little chance of it being benign, and nothing she can do now will change the outcome.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Quan and his wife are talking about what happened to them that day. Something happened that caused Quan to feel surprised. What is most likely to have happened?,"His wife talked a lot, which did not usually happen.",His wife talked about things that were different to what they usually discussed.,His wife told him that she might have some bad news.,His wife told Quan some news that was not what he thought it would be.,His wife told a funny story.,E,His wife told a funny story.,D,"The situation describes Quan feeling surprised, which typically results from encountering something unexpected. The most likely cause of this surprise is his wife telling him news that was not what he thought it would be, as this would deviate from his expectations and cause surprise."," 
Answer: D
Explanation: The situation describes Quan feeling surprised, which typically results from encountering something unexpected. The most likely cause of this surprise is his wife telling him news that was not what he thought it would be, as this would deviate from his expectations and cause surprise.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",Sad,Irritated,Distressed,Scared,Hopeful,D,Scared,C,"The situation describes a scenario where an impending event is likely to have negative outcomes, and the person involved has limited control over the situation. This would likely evoke feelings of distress, as it combines elements of worry, fear, and helplessness.","Answer: C
Explanation: The situation describes a scenario where an impending event is likely to have negative outcomes, and the person involved has limited control over the situation. This would likely evoke feelings of distress, as it combines elements of worry, fear, and helplessness.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",It is clear that somebody will get what they want. They are most likely to feel?,Pride,Relief,Joy,Hope,Guilt,C,Joy,C,"When it is clear that somebody will get what they want, they are most likely to feel joy, as they are anticipating the satisfaction of their desire.","Answer: C
Explanation: When it is clear that somebody will get what they want, they are most likely to feel joy, as they are anticipating the satisfaction of their desire.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","By chance, a situation arises where there is the possibility that a person will get what they want. The person is most likely to feel?",Distress,Hope,Surprise,Joy,Fear,B,Hope,B,"When there is a possibility of getting what one wants, the most likely emotion is hope, as it is a feeling of expectation and desire for a particular thing to happen.","Answer: B
Explanation: When there is a possibility of getting what one wants, the most likely emotion is hope, as it is a feeling of expectation and desire for a particular thing to happen.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","A supervisor who is unpleasant to work for leaves Alfonso's work. 
Alfonso is most likely to feel?",Joy,Hope,Regret,Relief,Sadness,D,Relief,D,"The departure of an unpleasant supervisor typically leads to a sense of relief, as it removes a source of stress or discomfort from the work environment."," 

Answer: D
Explanation: The departure of an unpleasant supervisor typically leads to a sense of relief, as it removes a source of stress or discomfort from the work environment.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",The nature of Sara's job changes due to unpredictable factors and she no longer gets to do the portions of her work that she most enjoyed. Sara is most likely to feel?,Ashamed,Sad,Angry,Distressed,Frustrated,B,Sad,E,"Sara is most likely to feel frustrated because she is no longer able to do the parts of her job that she enjoyed, due to factors beyond her control.","Answer: E
Explanation: Sara is most likely to feel frustrated because she is no longer able to do the parts of her job that she enjoyed, due to factors beyond her control.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Leila has been unable to sleep well lately and there are no changes in her life that might indicate why. Leila is most likely to feel?,Angry,Scared,Sad,Distressed,Guilty,D,Distressed,D,"In the given situation, Leila's inability to sleep well without any apparent reason might lead to feelings of distress, as she may worry about the cause and impact of her sleep issues, and feel uneasy or anxious about her situation.","Answer: D
Explanation: In the given situation, Leila's inability to sleep well without any apparent reason might lead to feelings of distress, as she may worry about the cause and impact of her sleep issues, and feel uneasy or anxious about her situation.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",A person feels they have control over a situation. The situation turns out badly for no particular reason. The person involved is most likely to feel?,Confused,Relieved,Surprised,Frustrated,Distressed,D,Frustrated,D,"When a person feels they have control over a situation but it turns out badly for no particular reason, they are likely to feel frustrated. This is because their expectation of control and a positive outcome is not met, leading to feelings of discontent and irritation.","Answer: D
Explanation: When a person feels they have control over a situation but it turns out badly for no particular reason, they are likely to feel frustrated. This is because their expectation of control and a positive outcome is not met, leading to feelings of discontent and irritation.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Someone believes another person has deliberately caused something good to stop happening to them. However, they feel they can do something about it. They are most likely to feel?",Angry,Contemptuous,Distress,Depressed,Frustrated,A,Angry,E,"The belief that someone has deliberately caused something good to stop happening, combined with the belief that they can do something about it, is most likely to result in frustration. This is because the person feels they have the power to change the situation but are being prevented from doing so, leading to a sense of being thwarted or blocked.","Answer: E
Explanation: The belief that someone has deliberately caused something good to stop happening, combined with the belief that they can do something about it, is most likely to result in frustration. This is because the person feels they have the power to change the situation but are being prevented from doing so, leading to a sense of being thwarted or blocked.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation."," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",Dislike,Rage,Jealousy,Surprise,Anxiety,A,Contempt,B,"The situation describes a change in work hours imposed by the new manager without allowing for discussion, which is likely to cause Enid to feel angry or enraged due to the lack of control and input in the decision-making process."," 

Answer: B
Explanation: The situation describes a change in work hours imposed by the new manager without allowing for discussion, which is likely to cause Enid to feel angry or enraged due to the lack of control and input in the decision-making process.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",Contempt,Anger,Horror,Excitement,Shame,A,Contempt,A,"In the given situation, the harmed person believes the other person has bad character, which suggests they have a strong negative opinion of that person, indicating contempt."," 
Answer: A
Explanation: In the given situation, the harmed person believes the other person has bad character, which suggests they have a strong negative opinion of that person, indicating contempt.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Pete gets home late, after his favourite TV show has ended. Pete's partner has taped the show for him. Pete is most likely to feel?
",Surprise,Hope,Pride,Relief,Gratitude,E,Gratitude,E,"In the given situation,Pete's partner has taped the show for him, indicating that they care about his interests and are considerate of his schedule. This thoughtful act is likely to evoke feelings of gratitude in Pete."," 

Answer: E
Explanation: In the given situation,Pete's partner has taped the show for him, indicating that they care about his interests and are considerate of his schedule. This thoughtful act is likely to evoke feelings of gratitude in Pete.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Matthew has been at his current job for six months. Something happened that caused him to feel regret. What is most likely to have happened?,"He did not apply for a position he wanted, and has found out that someone else less qualified got the job.","He did not apply for a position he wanted, and has started looking for a similar position.",He found out that opportunities for promotion have dried up.,He found out that he didn't get a position he thought he would get.,He didn't hear about a position he could have applied for and now it is too late.,A,"He did not apply for a position he wanted, and has found out that someone else less qualified got the job.",D,"In the given situation, Matthew feeling regret after six months at his job most likely stems from a missed opportunity that he had previously considered, indicating that he didn't get a position he thought he would get."," 
Answer: D
Explanation: In the given situation, Matthew feeling regret after six months at his job most likely stems from a missed opportunity that he had previously considered, indicating that he didn't get a position he thought he would get.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,Hope,Pride,Relief,Joy,Surprise,B,Pride,B,"In the given situation, Penny's team winning the championship after hard training typically suggests a sense of accomplishment and satisfaction, indicating pride."," 

Answer: B
Explanation: In the given situation, Penny's team winning the championship after hard training typically suggests a sense of accomplishment and satisfaction, indicating pride.",1
