Instructions,situation,A,B,C,D,E,answer label,answer,pred,explanation,response,is_correct
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Quan and his wife are talking about what happened to them that day. Something happened that caused Quan to feel surprised. What is most likely to have happened?,"His wife talked a lot, which did not usually happen.",His wife talked about things that were different to what they usually discussed.,His wife told him that she might have some bad news.,His wife told Quan some news that was not what he thought it would be.,His wife told a funny story.,E,His wife told a funny story.,D,"Surprise is often triggered by unexpected events or news that deviates from our predictions. 

Let me know if you would like to try another situation!","Answer: D
Explanation: Surprise is often triggered by unexpected events or news that deviates from our predictions. 

Let me know if you would like to try another situation!
",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",Sad,Irritated,Distressed,Scared,Hopeful,D,Scared,C,"When facing a situation with potential negative consequences that are difficult to change, the most likely emotion is distress. Distress encompasses a sense of worry, anxiety, and unease about the impending situation. 


Let me know if you would like to try another example!","Answer: C
Explanation: When facing a situation with potential negative consequences that are difficult to change, the most likely emotion is distress. Distress encompasses a sense of worry, anxiety, and unease about the impending situation. 


Let me know if you would like to try another example!
",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",It is clear that somebody will get what they want. They are most likely to feel?,Pride,Relief,Joy,Hope,Guilt,C,Joy,B,"When it is clear that someone will get what they want, they are most likely to feel relief because the uncertainty and desire have been resolved. 


Let me know if you would like to try another situation!","Answer: B
Explanation: When it is clear that someone will get what they want, they are most likely to feel relief because the uncertainty and desire have been resolved. 


Let me know if you would like to try another situation!
",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","By chance, a situation arises where there is the possibility that a person will get what they want. The person is most likely to feel?",Distress,Hope,Surprise,Joy,Fear,B,Hope,B,"The possibility of getting what one wants naturally evokes a sense of hope and anticipation. 
","Answer: B
Explanation: The possibility of getting what one wants naturally evokes a sense of hope and anticipation. 

",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","A supervisor who is unpleasant to work for leaves Alfonso's work. 
Alfonso is most likely to feel?",Joy,Hope,Regret,Relief,Sadness,D,Relief,D,"An unpleasant supervisor leaving would likely bring a sense of relief to Alfonso. 
","Answer: D
Explanation: An unpleasant supervisor leaving would likely bring a sense of relief to Alfonso. 

",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",The nature of Sara's job changes due to unpredictable factors and she no longer gets to do the portions of her work that she most enjoyed. Sara is most likely to feel?,Ashamed,Sad,Angry,Distressed,Frustrated,B,Sad,,,,0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Leila has been unable to sleep well lately and there are no changes in her life that might indicate why. Leila is most likely to feel?,Angry,Scared,Sad,Distressed,Guilty,D,Distressed,D,"Leila's inability to sleep without any apparent reason is likely causing her stress and discomfort, leading to feelings of distress. 


Let me know if you would like to try another situation!","Answer: D
Explanation:  Leila's inability to sleep without any apparent reason is likely causing her stress and discomfort, leading to feelings of distress. 


Let me know if you would like to try another situation!
",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",A person feels they have control over a situation. The situation turns out badly for no particular reason. The person involved is most likely to feel?,Confused,Relieved,Surprised,Frustrated,Distressed,D,Frustrated,,,,0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Someone believes another person has deliberately caused something good to stop happening to them. However, they feel they can do something about it. They are most likely to feel?",Angry,Contemptuous,Distress,Depressed,Frustrated,A,Angry,A,"The belief that someone intentionally caused something good to end, coupled with the feeling of being able to take action, strongly suggests anger. The person is likely to feel wronged and motivated to rectify the situation. 


Let me know if you'd like to try another example!"," 
Answer: A
Explanation:  The belief that someone intentionally caused something good to end, coupled with the feeling of being able to take action, strongly suggests anger. The person is likely to feel wronged and motivated to rectify the situation. 


Let me know if you'd like to try another example!
",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation."," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",Dislike,Rage,Jealousy,Surprise,Anxiety,A,Contempt,B,"The new manager's actions are controlling and disrespectful to Enid and her colleagues' needs. This lack of consideration and flexibility is likely to trigger anger or rage. 


Let me know if you would like to try another situation!","Answer: B
Explanation: The new manager's actions are controlling and disrespectful to Enid and her colleagues' needs. This lack of consideration and flexibility is likely to trigger anger or rage. 


Let me know if you would like to try another situation!
",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",Contempt,Anger,Horror,Excitement,Shame,A,Contempt,B,"The belief that someone has caused harm due to their bad character, coupled with the feeling that the situation can be handled, is most likely to trigger anger. Anger is a natural response to perceived injustice or harm. 
","Answer: B
Explanation: 

The belief that someone has caused harm due to their bad character, coupled with the feeling that the situation can be handled, is most likely to trigger anger. Anger is a natural response to perceived injustice or harm. 

",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Pete gets home late, after his favourite TV show has ended. Pete's partner has taped the show for him. Pete is most likely to feel?
",Surprise,Hope,Pride,Relief,Gratitude,E,Gratitude,E,"Pete's partner taping the show demonstrates a thoughtful act of kindness, making gratitude the most likely emotion. 
"," 

Answer: E
Explanation: Pete's partner taping the show demonstrates a thoughtful act of kindness, making gratitude the most likely emotion. 

",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Matthew has been at his current job for six months. Something happened that caused him to feel regret. What is most likely to have happened?,"He did not apply for a position he wanted, and has found out that someone else less qualified got the job.","He did not apply for a position he wanted, and has started looking for a similar position.",He found out that opportunities for promotion have dried up.,He found out that he didn't get a position he thought he would get.,He didn't hear about a position he could have applied for and now it is too late.,A,"He did not apply for a position he wanted, and has found out that someone else less qualified got the job.",,,"Answer: 
Explanation: 


",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,Hope,Pride,Relief,Joy,Surprise,B,Pride,,,"Answer: 
Explanation: 
",0
